run_id,map_type,map_name,map_size,obstacle_ratio,task_id,start,goal,optimal_length,algorithm,success,path_length,turn_count,expanded_nodes,runtime_ms,collision_free
exp_v1_rerun,dao,arena,49x49,0.1445,26,"9,18","3,13",8.071068,ablation_no_adapt,True,7.810250,0,7,0.0716,True
exp_v1_rerun,dao,arena,49x49,0.1445,26,"9,18","3,13",8.071068,ablation_no_smooth,True,8.071068,1,7,0.1265,True
exp_v1_rerun,dao,arena,49x49,0.1445,27,"14,2","6,5",9.242641,dijkstra,True,9.242641,2,130,0.8440,True
exp_v1_rerun,dao,arena,49x49,0.1445,27,"14,2","6,5",9.242641,astar_euclidean,True,9.242641,4,18,0.1308,True
exp_v1_rerun,dao,arena,49x49,0.1445,27,"14,2","6,5",9.242641,astar_octile,True,9.242641,4,10,0.0930,True
exp_v1_rerun,dao,arena,49x49,0.1445,27,"14,2","6,5",9.242641,weighted_1.2,True,9.242641,1,9,0.0974,True
exp_v1_rerun,dao,arena,49x49,0.1445,27,"14,2","6,5",9.242641,improved_ours,True,8.544004,0,9,0.1389,True
exp_v1_rerun,dao,arena,49x49,0.1445,27,"14,2","6,5",9.242641,ablation_no_adapt,True,8.544004,0,10,0.1293,True
exp_v1_rerun,dao,arena,49x49,0.1445,27,"14,2","6,5",9.242641,ablation_no_smooth,True,9.242641,1,9,0.1418,True
exp_v1_rerun,dao,arena,49x49,0.1445,28,"12,13","6,18",8.071068,dijkstra,True,8.071068,1,166,1.0231,True
exp_v1_rerun,dao,arena,49x49,0.1445,28,"12,13","6,18",8.071068,astar_euclidean,True,8.071068,2,7,0.0617,True
exp_v1_rerun,dao,arena,49x49,0.1445,28,"12,13","6,18",8.071068,astar_octile,True,8.071068,1,7,0.0735,True
exp_v1_rerun,dao,arena,49x49,0.1445,28,"12,13","6,18",8.071068,weighted_1.2,True,8.071068,1,7,0.0705,True
exp_v1_rerun,dao,arena,49x49,0.1445,28,"12,13","6,18",8.071068,improved_ours,True,7.810250,0,7,0.1300,True
